  n	repetitions	time
     0  11302373  0.000000
    10   2513614  0.000000
    20    769063  0.000001
    30    424429  0.000002
    40    240819  0.000004
    50    156644  0.000006
    60    114123  0.000009
    70     86654  0.000012
    80     67419  0.000015
    90     54891  0.000018
   100     45109  0.000022
   200     11541  0.000087
   300      5268  0.000190
   400      2898  0.000345
   500      1892  0.000529
   600      1310  0.000763
   700       963  0.001038
   800       736  0.001359
   900       588  0.001702
  1000       462  0.002165
