  n	repetitions	time
     0  11688309  0.000000
    10    827986  0.000001
    20    325027  0.000003
    30    196471  0.000005
    40    130778  0.000008
    50     94129  0.000011
    60     72386  0.000014
    70     57134  0.000018
    80     46888  0.000021
    90     38306  0.000026
   100     32460  0.000031
   200      9910  0.000101
   300      4741  0.000211
   400      2717  0.000368
   500      1778  0.000562
   600      1234  0.000810
   700       919  0.001088
   800       720  0.001389
   900       568  0.001761
  1000       461  0.002171
